1,232,,erin71@yahoo.com,scrypt:32768:8:1$buf8vNtHDTx2mTE6$a1ea11e75c85b096f81aedeba50f2b1fd5a2b49ecf546bcc404bee818b72f13139993d416cb7ab1846a0867dd962433bbe3b15f48b1da50b15f26af1f40f2d42,David Rivera,"60712 Rivera Rest Apt. 770, Rebeccachester, AS 03995",7230.56
2,610,,tgalloway@hotmail.com,scrypt:32768:8:1$IhGASQ7uRoqpgnjc$bf0299c5e73fcdcdcf90fdebf83273a72d7f4a6589b9755c43580bda08341b10a1a2c570bba81038bc8bd7f08fe0cc684947a0bb6de05ab1991a4244c2e0071c,Theresa Gomez,"990 Parsons Forest, South Charleston, PA 25156",5043.66
3,268,,stephen29@gmail.com,scrypt:32768:8:1$1IW84XwQDCXrxGBm$faf983fb51da3a71ad369048eda24f34a373213f8049de08ee076f76238e07c3515409e01ade212f69f633cde63c6c3843e58cf87e30ce75b06f415d594bf373,Christopher Robinson,"5422 Hill Light Apt. 972, Floydchester, WV 51245",1778.41
4,435,,williamdoyle@gmail.com,scrypt:32768:8:1$zNDLpPeYjwOYPedV$b41c0fac9a1fc2fe8a724fb7e5d6f4c81abc99e95e45397f4f5fe598510d2a519f078469fcfe84325344527f6d082185e6bdd2bd5f7c315d21f66f9e17876a54,Miss Heather Lee MD,"21442 Lam Gateway Apt. 173, Ronaldmouth, FM 14040",9451.63
5,456,,jeffrey95@yahoo.com,scrypt:32768:8:1$1V4yrqZ2tX4WJq9f$d5674cbaf9f7a3ae2edaa10a8a77e5c05e4655475887af543c148f573abad384f0dd70279a29b8d51fa862cad855561b8010a4caa27055e98f033479ea643b0b,Mrs. Mary Johnson,"2017 Mcneil Isle, Scottmouth, VA 42613",1877.27
6,538,113,vfoster@hotmail.com,scrypt:32768:8:1$ehOfJSdRZYzdhJWq$e673a759895b9eb9ec4f22b7ef9ef432009c9e5141a2e59e25f411bdaec7e62d9a897babe6104990bdcb9b850c7fd038950c61a43b4d199eb8808eeeb3130532,Keith Brooks,"832 Spencer Spring Suite 980, Duncanbury, MO 35092",9990.22
7,15,,angelarowe@yahoo.com,scrypt:32768:8:1$9S3b0z23xIANbUU3$a45810623eadccd9fc4093902a6686b81399d5b1971f27b89d9824b6b625c0455dd1b0f520abb49e3bc9b3727673e5af02296f895d9bffa84d9499aa2fefd112,Jennifer Griffin,"5247 Amber Hollow, Sandymouth, CA 46250",4305.47
8,323,,laurenallen@yahoo.com,scrypt:32768:8:1$YdcXVwKegpkGka9D$510b7472e8c26ffe31adc83bc9f7e79b4298c8ab296a03492b7a0df84cf462d4ce0c4fd4e2f7bfc0aba10667a79e860eb5236d9e61aed79e28fac4cad5b230c4,Gavin Silva,"2054 Sims Forks Suite 001, New Mark, OK 22130",1256.54
9,222,,randallwendy@yahoo.com,scrypt:32768:8:1$3yCJXYUSzPqgMEU2$50f54a227a1c782a15d3a01af8e5ace41676ccc9db9fa536b58416e165458b4dc26da442960b9100d70038a9803a674b119b6716a89e402adefd6416751bcb06,Brent Hernandez,"936 Randall Park, Mcgrathfurt, AR 41129",9907.14
10,127,,sharris@hotmail.com,scrypt:32768:8:1$XEB4fagcWSlTiygg$a5bd4b1ec4b4683840cb38e65bc5e99f89de17e7f09375d1b869a438ba07d0521e31f8ad49b685781b0e11aa4d109a8ac3a8086a268b3cb3046b6f05b71e8a9f,Rodney Harrison,"23422 Clark Ports Apt. 012, Baileyport, HI 08507",9898.90
11,792,,jenkinsmatthew@gmail.com,scrypt:32768:8:1$qi1Cmtnvp0eozyOA$4f70fa6e3228a4b3a3759175acd7a01fab965e8bc010ddcda1fc5c4072ff27723ac30650bef21863739d415bcad84e26f90b8a38be2fb2134e4b0bcf6b3e4424,William Bass,"3236 Gonzalez Ford, New Juanborough, NY 13836",4651.58
12,91,9,carriecollier@yahoo.com,scrypt:32768:8:1$wIB5PFgOee5ARAdb$f0d344cccd481dfe4899cd7ec58fec54c79d1b42271f16a98f236696d4fff654cdfeb42d2cc5f884149d493f5fe230a7b855300973767879baec8b066ec1e3fb,Michelle Brown,"98713 Fleming Port, Adrianmouth, VI 28252",5753.44
13,57,,charlotte38@gmail.com,scrypt:32768:8:1$VIwd4SaB4MtjemJ3$5fec1562d16a0175c5b16281950b84a5f273a0c259dd20e84da8ad36687f287549bf2ecdbc4a33512b4706276eb85c432e722e6cfe557f821d526588f4713b92,Tamara Sloan,"79204 Aguilar Shores Suite 965, Port Caleb, VI 70581",357.29
14,141,72,ramoskevin@hotmail.com,scrypt:32768:8:1$aLhD8uMPvup0bsyx$0460aee094e32e70b3df6fac7afffe4f6904fc10c42e25a4c480cdb99216fd8a0bdcb44fe3babce2667d01a7f3a0efe8f5affc01b48cc362dd7d83401fbf9b46,Tonya Andersen,"20865 Tiffany Island, Lake Nancyhaven, IN 34436",4448.90
15,688,,colonconnor@gmail.com,scrypt:32768:8:1$kHCpU8eYBS6x9F5a$63715003a5ecf92efb8abd68a907503f348c63cf3d7b63c83bf2bbaf3f313a6dec6768e7c2e5f645ddf0619846626865ad6cb29c7470e99afdc5764aee743576,Cassandra Martin,"554 April Circles Suite 196, Tylerville, VA 60222",9426.98
